ranking,name,producer,revenue,year
7588,Baadshah,Eros,"$660,216",1999
7589,Les Visiteurs,Mira.,"$659,810",1996
7590,Play the Game,Slow,"$659,483",2009
7591,The Concert,Wein.,"$657,986",2010
7592,Spellbinder,MGM,"$657,446",1988
7593,War Party,Hemd,"$657,190",1989
7594,SubUrbia,SPC,"$656,747",1997
7595,Terri,ATO,"$655,802",2011
7596,The Decalogue,NYer,"$655,720",2000
7597,Heroes (2008),Eros,"$655,538",2008
7598,Another Gay Movie,TLA,"$654,132",2006
7599,Parkland,EXCL,"$653,651",2013
7600,Lassie (2006),IDP,"$652,163",2006
7601,L'Enfant (The Child),SPC,"$651,941",2006
7602,Aarakshan (Reservation),Relbig.,"$651,096",2011
7603,Jaan-E-Mann,AdL.,"$650,000",2006
7604,The Stanford Prison Experiment,IFC,"$649,690",2015
7605,Jodorowsky's Dune,SPC,"$647,280",2014
7606,Japanese Story,IDP,"$647,054",2003
7607,Hasee Toh Phasee,Relbig.,"$646,035",2014
7608,Saraband,SPC,"$645,634",2005
7609,Focus,ParC,"$645,418",2001
7610,Frank,Magn.,"$645,186",2014
7611,2009 Oscar Shorts,Shrts.,"$644,635",2009
7612,Da,FDal,"$644,532",1988
7613,Dil Bole Hadippa! (My Heart Goes Hooray),Yash,"$644,046",2009
7614,Into the Sun,Trim.,"$641,886",1991
7615,Five Days from Home,Uni.,"$641,768",1979
7616,Holy Motors,IM,"$641,100",2012
7617,Journey from the Fall,ImAs,"$641,039",2007
7618,Purple Moon (Re-issue),Mira.,"$640,945",n/a
7619,Dust to Glory,IFC,"$640,013",2005
7620,The Monster,Lions,"$638,645",1996^
7621,The Wild Bunch,WB,"$638,641",1969^
7622,POM Wonderful Presents: The Greatest Movie Ever Sold,SPC,"$638,476",2011
7623,Dinner Rush,Acc.,"$638,227",2001
7624,We Are Family,UTV,"$638,144",2010
7625,Blow Dry,Mira.,"$637,769",2001
7626,The Stoning of Soraya M.,RAtt.,"$637,421",2009
7627,Dice Rules,7Art,"$637,327",1991
7628,One from the Heart,Col.,"$636,796",1982
7629,The Virginity Hit,Sony,"$636,706",2010
7630,Fugitive Pieces,Gold.,"$635,783",2008
7631,Moliere,SPC,"$635,733",2007
7632,My Life So Far,Mira.,"$635,620",1999
7633,Goya in Bordeaux,Sony,"$635,361",2000
7634,The Last Lions,NGE,"$635,325",2011
7635,Ride with the Devil,USA,"$635,096",1999
7636,Pere et Fils,Ode.,"$634,968",2003
7637,2 Days in New York,Magn.,"$633,210",2012
7638,Grey Owl,Mira.,"$632,617",1999
7639,The Assassin,WGUSA,"$632,542",2015
7640,Pumping Iron 2: The Women,Cinc,"$628,050",1985
7641,"The Prize Winner of Defiance, Ohio",DW,"$627,844",2005
7642,Amreeka,NGE,"$627,436",2009
7643,Red Cliff,Magn.,"$627,047",2009
7644,Taxi 2,Lions,"$626,164",2000
7645,Johnny Stecchino,NL,"$626,057",1992
7646,The House of Yes,Mira.,"$626,057",1997
7647,Son of the Bride,SPC,"$624,757",2002
7648,Wuthering Heights (Re-issue),Gold.,"$624,643",1989
7649,Character,SPC,"$623,983",1998
7650,A Secret,Strand,"$623,558",2008
7651,"Kumiko, The Treasure Hunter",Ampl.,"$623,383",2015
7652,Texas Rangers (2001),Mira.,"$623,374",2001
7653,Spike of Bensonhurst,FDal,"$623,112",1988
7654,It's My Party,MGM,"$622,503",1996
7655,Ajami,Kino,"$622,403",2010
7656,Sunday Lovers,MGM,"$621,931",1981
7657,Cronos,Oct.,"$621,392",1994
7658,Mary Kom,Eros,"$621,300",2014
7659,L.O.C. (Kargil),Eros,"$621,103",2003
7660,Seymour: An Introduction,IFC,"$620,731",2015
7661,The Passenger,MGM,"$620,155",1975^
7662,Guinevere,Mira.,"$619,511",1999
7663,Agora,NM,"$619,423",2010
7664,Vincere,IFC,"$619,162",2010
7665,Fever Pitch (1985),MGM,"$618,847",1985
7666,Cage,NCeV,"$618,178",1988
7667,The Third Man,Selz.,"$618,173",1949^
7668,I Served the King of England,SPC,"$617,403",2008
7669,Howl,Osci.,"$617,334",2010
7670,The Celestine Prophecy,Ram,"$617,236",2006
7671,Finding Fanny,FIP,"$615,691",2014
7672,Going Upriver: The Long War of John Kerry,Think,"$614,138",2004
7673,Brothers: Blood Against Blood,FIP,"$613,775",2015
7674,The Hunt,Magn.,"$613,308",2013
7675,Queens Logic,NL,"$612,781",1991
7676,Walking the Camino: Six Ways to Santiago,FEF,"$612,717",2013
7677,The Filth and the Fury,FL,"$612,192",2000
7678,Le Havre,Jan.,"$611,709",2011
7679,Leolo,FL,"$611,703",1993
7680,Everlasting Moments,IFC,"$610,825",2009
7681,Not Fade Away,ParV,"$610,792",2012
7682,The Return of Superfly,Trit,"$610,402",1990
7683,Henry: Portrait of a Serial Killer,Grey,"$609,939",1990
7684,Deception (1993),Mira.,"$608,866",1993
7685,Welcome to Me,Alc,"$608,852",2015
7686,Gunner Palace,Palm,"$607,844",2005
7687,Below,Dim.,"$605,562",2002
7688,Blue Collar Comedy Tour,WB,"$604,856",2003
7689,Modern Girls,Atl,"$604,849",1986
7690,Tatie Danielle,Mira.,"$604,624",1991
7691,Love Serenade,Mira.,"$604,523",1997
7692,Jaane Tu Ya Jaane Na,UTV,"$604,037",2008
7693,Mean Creek,ParC,"$603,951",2004
7694,Vince Vaughn's Wild West Comedy Show: 30 Days & 30 Nights - From Hollywood to the Heartland,PicH,"$603,894",2008
7695,The Holy Land,CAVU,"$603,520",2003
7696,Girl from Monaco,Magn.,"$602,992",2009
7697,The Advocate,Mira.,"$602,329",1994
7698,Orgazmo,Oct.,"$602,302",1998
7699,Knights of the City,NW,"$601,451",1986
7700,The Signal (2014),Focus,"$600,896",2014
7701,Chungking Express,Roll.,"$600,200",1996
7702,Code Name: Wild Geese,NW,"$600,000",1986
7703,Heroine,UTV,"$598,668",2012
7704,Swept Away,SGem,"$598,645",2002
7705,Road Scholar,Gold.,"$597,564",1993
7706,Fiza,VidS,"$596,591",2000
7707,Where the Rivers Flow North,Cale.,"$595,505",1994
7708,Schultze Gets the Blues,ParC,"$595,071",2005
7709,Blue Like Jazz,RAtt.,"$595,018",2012
7710,Les Rivieres Pourpres (The Crimson Rivers),TriS,"$594,966",2001
7711,Not One Less,SPC,"$592,586",2000
7712,La Promesse,NYer,"$592,543",1997
7713,Tarnation,Wells,"$592,014",2004
7714,Night of the Creeps,TriS,"$591,366",1986
7715,Last Night (1999),Lions,"$591,165",1999
7716,The Third Miracle,SPC,"$591,142",1999
7717,"Peace, Love and Misunderstanding",IFC,"$590,700",2012
7718,Refugee,Yash,"$590,000",2000
7719,Prefontaine,BV,"$589,304",1997
7720,Powaqqatsi,Can.,"$589,244",1988
7721,Twelfth Night,FL,"$588,621",1996
7722,Phir Bhi Dil Hain Hindustani,Eros,"$588,606",2000
7723,Khakee,Eros,"$587,877",2004
7724,Elvis On Tour 75th Anniversary,WB,"$587,818",2010
7725,The Disappearance of Eleanor Rigby,Wein.,"$587,774",2014
7726,A Time for Drunken Horses,TSG,"$587,654",2000
7727,To The Wonder,Magn.,"$587,615",2013
7728,Thunderstruck,WB,"$587,211",2012
7729,Pound Puppies and the Legend of Big Paw,TriS,"$586,938",1988
7730,Wazir,Relbig.,"$586,028",2016
7731,Gloomy Sunday,Men.,"$585,604",2003
7732,The Opportunists,First,"$584,054",2000
7733,The Wolf at the Door,IFM,"$583,800",1987
7734,Kurosawa & Mifune Festival,Cow.,"$583,712",2002
7735,Salinger,Wein.,"$583,633",2013
7736,W.E.,Wein.,"$583,455",2012
7737,Forgive Me Father,MyrE,"$582,787",2001
7738,The Pope Must Die(t),Mira.,"$582,510",1991
7739,All Good Things,Magn.,"$582,024",2010
7740,Lootera,Eros,"$581,813",2013
7741,"War, Inc.",First,"$580,862",2008
7742,The Search for Signs of Intelligent Life in the Universe,OrionC,"$579,854",1991
7743,Viva Pedro! (Almodovar festival),SPC,"$579,539",2006
7744,Detective Byomkesh Bakshy,Yash,"$579,055",2015
7745,Tibet: Cry of the Snow Lion,AL,"$578,241",2003
7746,Overexposed,Conc,"$577,701",1990
7747,Dhobi Ghat (Mumbai Diaries),UTV,"$576,639",2011
7748,The Maid,Elep.,"$576,608",2009
7749,House (2008),RAtt.,"$575,048",2008
7750,Rosalie Goes Shopping,4Sea,"$574,080",1990
7751,Bar Girls,OrionC,"$573,953",1995
7752,Wild Orchid 2,Triu,"$573,904",1992
7753,Freeheld,LGF,"$573,335",2015
7754,Deceiver,MGM,"$572,433",1998
7755,Yuvvraaj,Eros,"$570,090",2008
7756,Lemon Tree,IFC,"$569,672",2009
7757,Back in Time (Congcong Nanian),CL,"$569,280",2014
7758,Down in the Valley,Think,"$568,932",2006
7759,My First Mister,ParC,"$568,762",2001
7760,The Future,RAtt.,"$568,662",2011
7761,La Danse: Le Ballet de L'Opera de Paris,Zipp.,"$567,493",2009
7762,The Weather Underground,Shad.,"$564,632",2003
7763,Touch of Pink,SPC,"$564,535",2004
7764,Dum Maaro Dum,FoxS,"$564,489",2011
7765,Help! I'm a Fish,TVA,"$563,911",2003
7766,Poolhall Junkies,GldC,"$563,711",2003
7767,Hands on a Hard Body,Prov.,"$563,482",1998
7768,The Fluffer,FRun,"$563,373",2001
7769,Nobody's Fool (1986),Isld,"$563,358",1986
7770,Undefeated (2012),Wein.,"$562,218",2012
7771,Steel Dawn,Vest,"$562,187",1987
7772,Code Name: Emerald,MGM,"$561,548",1985
7773,Museum Hours,CGld,"$561,457",2013
7774,When Marnie Was There,GK,"$561,085",2015
7775,Rich Girl,Stu3,"$561,000",1991
7776,Jimmy's Hall,SPC,"$560,592",2015
7777,Tamara Drewe,SPC,"$560,391",2010
7778,Bottle Rocket,Sony,"$560,069",1996
7779,The Grass Harp,FL,"$559,771",1996
7780,Twilight Samurai,Emp.,"$559,765",2004
7781,A Little Chaos,Focus,"$558,173",2015
7782,Romance and Cigarettes,Boro.,"$557,471",2007
7783,The Attorney,WGUSA,"$557,236",2014
7784,The Italian,SPC,"$555,436",2007
7785,The Greatest Miracle,KKM,"$555,166",2011
7786,Reprise,Mira.,"$554,826",2008
7787,American Violet,Gold.,"$554,434",2009
7788,Love Me If You Dare,ParC,"$553,504",2004
7789,Palindromes,Wells,"$553,368",2005
7790,Akira,Stl.,"$553,171",1989^
7791,The Reluctant Fundamentalist,IFC,"$552,959",2013
7792,Mesrine: Killer Instinct,MBox,"$551,697",2010
7793,Mother (2010),Magn.,"$551,509",2010
7794,The Final Cut,Lions,"$551,281",2004
7795,Ondine,Magn.,"$550,472",2010
7796,All the Real Girls,SPC,"$549,666",2003
7797,The Lost Medallion,MTE,"$549,632",2013
7798,23 Blast,OAE,"$549,185",2014
7799,Vicky Donor,Eros,"$549,001",2012
7800,From Mexico with Love,RAtt.,"$548,787",2009
7801,Amazon Women on the Moon,Uni.,"$548,696",1987
7802,Commandments,Gram.,"$548,561",1997
7803,We Have a Pope,IFC,"$548,115",2012
7804,Beyond the Reef,Uni.,"$547,525",1981
7805,Devil in the Flesh,OrionC,"$546,904",1987
7806,Heavy Metal (re-issue),Sony,"$546,545",1996
7807,Changing Times,Koch,"$545,255",2006
7808,A Map of the World,First,"$544,965",1999
7809,Jet Lag,Mira.,"$544,964",2003
7810,The Art of the Steal,IFC,"$544,890",2010
7811,Love & Sex,Lions,"$543,896",2000
7812,Dream with the Fishes,SPC,"$543,708",1997
7813,Double Dhamaal,Relbig.,"$543,646",2011
7814,Facing Windows,SPC,"$543,354",2004
7815,Winter in Wartime,SPC,"$543,100",2011
7816,The Ballad of Little Jo,FL,"$543,091",1993
7817,On Any Sunday: The Next Chapter,Hann.,"$543,044",2014
7818,Love and Human Remains,SPC,"$542,985",1995
7819,Joshua: Then and Now,Fox,"$542,420",1985
7820,Jack Goes Boating,Over.,"$541,992",2010
7821,Khatta Meetha,Eros,"$541,904",2010
7822,20 Dates,FoxS,"$541,636",1999
7823,Strike It Rich,Mira.,"$541,626",1990
7824,Broken English (1997),SPC,"$541,377",1997
7825,Passionada,IDP,"$540,833",2003
7826,Nobel Son,Free,"$540,382",2008
7827,Being Flynn,Focus,"$540,152",2012
7828,Buster,Hemd,"$540,000",1988
7829,Max,Lions,"$539,879",2002
7830,Love Crime,IFC,"$539,792",2011
7831,Mustang,Cohen,"$539,662",2015
7832,The House of Sand,SPC,"$539,285",2006
7833,Machine Gun Preacher,Rela.,"$538,690",2011
7834,Tom and Viv,Mira.,"$538,534",1994
7835,By the Sea,Uni.,"$538,460",2015
7836,Clockwatchers,AL,"$537,948",1998
7837,Kids in America,Slow,"$537,667",2005
7838,Incident at Oglala,Mira.,"$536,848",1992
7839,The Young Poisoner's Handbook,Lions,"$536,825",1996
7840,Eddie and the Cruisers II,Sct.,"$536,508",1989
7841,The Underneath,Gram.,"$536,023",1995
7842,Shall We Kiss?,MBox,"$535,499",2009
7843,Cattle Annie and Little Britches,Uni.,"$534,816",1981
7844,Hard Country,Uni.,"$534,653",1981
7845,Gabbar is Back,Eros,"$534,601",2015
7846,Ai Weiwei: Never Sorry,IFC,"$534,100",2012
7847,Traveller,Oct.,"$534,010",1997
7848,Wild Man Blues,NL,"$533,759",1998
7849,Masked and Anonymous,SPC,"$533,569",2003
7850,Bread and Roses,Lions,"$533,479",2001
7851,Hangin' with the Homeboys,NL,"$532,933",1991
7852,Noah's Arc: Jumping the Broom,Logo,"$532,878",2008
7853,Boys Life 2,Strand,"$532,654",1997
7854,Gabbeh,NYer,"$532,629",1997
7855,Funny Bones,BV,"$532,268",1995
7856,Where Do We Go Now?,SPC,"$531,997",2012
7857,Standing Ovation,RM,"$531,806",2010
7858,Mademoiselle Chambon,Lorb.,"$531,685",2010
7859,Sex Is...,OutF,"$530,833",1993
7860,"Sex, Drugs, Rock and Roll",Ave,"$530,392",1991
7861,Things to Do in Denver When You're Dead,Mira.,"$529,766",1995
7862,Highway (2014),UTV,"$529,136",2014
7863,The Man From Nowhere,CJ,"$528,175",2010
7864,Veer (2010),Eros,"$527,193",2010
7865,A Great Day in Harlem,Castle,"$527,034",1995
7866,National Lampoon's Gold Diggers,P&A,"$527,000",2004
7867,Scandalous,Orion,"$526,805",1984
7868,The Innocent,Mira.,"$525,955",1995
7869,Our Lady of the Assassins,ParC,"$525,330",2001
7870,Still Crazy,Sony,"$524,864",1999
7871,Proof,FL,"$524,668",1992
7872,The Last - Naruto the Movie,Elev.,"$524,451",2015
7873,Weavers: Wasn't That a Time,MGM,"$524,203",1982
7874,Dom Hemingway,FoxS,"$523,511",2014
7875,The Myth of Fingerprints,SPC,"$523,025",1997
7876,Shaandaar,FIP,"$521,794",2015
7877,Trouble the Water,Zeit.,"$520,151",2008
7878,Man on Fire (1987),TriS,"$519,596",1987
7879,Death of a President,NM,"$519,086",2006
7880,"Thelonious Monk: Straight, No Chaser",WB,"$518,918",1989
7881,Tetro,AZoe.,"$518,522",2009
7882,Scatter My Ashes at Bergdorf's,EOne,"$518,342",2013
7883,Even the Rain,Vita.,"$518,017",2011
7884,Leo and Loree,MGM,"$517,988",1980
7885,The Grey Zone,Lions,"$517,872",2002
7886,A Guide to Recognizing Your Saints,First,"$517,809",2006
7887,Madison,UA,"$517,262",2005
7888,Black Panthers: Vanguard of the Revolution,PBS,"$516,893",2015
7889,The Trials of Henry Kissinger,FRun,"$516,726",2002
7890,Voyager,Castle,"$516,517",1992
7891,Rhapsody in August,OrionC,"$516,431",1991
7892,Boys,BV,"$516,349",1996
7893,Ghost in the Shell,Palm,"$515,905",1996
7894,The Face Reader,PM&E,"$515,876",2013
7895,Preacher's Kid,8X,"$515,065",2010
7896,A Hard Day's Night (2014 re-release),Jan.,"$515,005",2014
7897,Federal Hill,Trim.,"$514,775",1994
7898,The Names of Love,MBox,"$514,237",2011
7899,The One I Love,RTWC,"$513,447",2014
7900,Big Eden,Jour,"$512,451",2001
7901,Mifune,SPC,"$512,434",2000
7902,The Assault,Can.,"$512,403",1986
7903,Safe,SPC,"$512,245",1995
7904,The Eye (2003),Palm,"$512,049",2003
7905,The Tall Guy,Mira.,"$510,712",1990
7906,Shut Up and Play the Hits,Osci.,"$510,334",2012
7907,Tracks (2014),Wein.,"$510,007",2014
7908,Karmina 2: L'enfer de Chabot,All.,"$508,969",2001
7909,Creature (2011),BD,"$508,714",2011
7910,2007 Academy Award Nominated Short Films,Magn.,"$508,695",2008
7911,2007 Academy Award Nominated Short Films,Magn.,"$508,695",2008
7912,Mr. Death,Lions,"$507,941",1999
7913,The Two Faces of January,Magn.,"$507,463",2014
7914,Travellers and Magicians,Zeit.,"$506,793",2005
7915,Manna from Heaven,5Sis,"$505,675",2002
7916,Pippi Longstocking,Leg.,"$505,335",1997
7917,Blizzard,All.,"$504,600",2003
7918,The Return,Kino,"$504,256",2004
7919,Heartbreaker,IFC,"$504,030",2010
7920,Girlstown,Oct.,"$503,667",1996
7921,Manny amd Lo,SPC,"$502,313",1996
7922,Deli Man,Cohen,"$502,294",2015
7923,Dream Lover,MGM,"$502,237",1986
7924,Cube,Trim.,"$501,818",1998
7925,Bride Flight,MBox,"$501,360",2011
7926,Alice et Martin,USA,"$500,896",2000
7927,The Killing Time,NW,"$500,283",1987
7928,Fireworks,Mile.,"$500,000",1998
7929,Delicacy,Cohen,"$498,584",2012
7930,Taxi 3,Chri.,"$497,208",2003
7931,The Five Senses,FL,"$497,091",2000
7932,Mere Brother Ki Dulhan,Yash,"$496,172",2011
7933,Bent,Gold.,"$496,059",1997
7934,Uncle Joe Shannon,UA,"$494,797",1978
7935,The Inevitable Defeat of Mister and Pete,LGF,"$494,608",2013
7936,Steve Jobs: The Man in the Machine,Magn.,"$494,506",2015
7937,L'Incomparable Mademoiselle C.,Chri.,"$493,905",2004
7938,The City of Your Final Destination,Scre.,"$493,296",2010
7939,Man of Iron,MGM,"$492,035",1981
7940,A Girl Walks Home Alone at Night,KL,"$491,910",2014
7941,Tape,Lions,"$490,475",2001
7942,Kismat Konnection,UTV,"$490,154",2008
7943,Phantom (2015),UTV,"$489,984",2015
7944,Shaolin Soccer,Mira.,"$489,600",2004
7945,Saint Ralph,IDP,"$489,389",2005
7946,Bonneville,SenA,"$488,393",2008
7947,The Browning Version,Par.,"$487,391",1994
7948,Krazzy 4,Eros,"$487,215",2008
7949,Act of Killing,Drft.,"$486,919",2013
7950,Paranoid Park,IFC,"$486,767",2008
7951,September,Orion,"$486,434",1987
7952,Meet the Applegates,Trit,"$485,772",1991
7953,Umrao Jaan,AdL.,"$485,000",2006
7954,Weekend (2011),IFC,"$484,592",2011
7955,Aaja Nachle,Yash,"$484,108",2007
7956,Strayed,Wells,"$482,757",2004
7957,Joshua,FoxS,"$482,355",2007
7958,Somewhere Only We Know,CL,"$482,341",2015
7959,Little Ashes,Reg.,"$481,586",2009
7960,Peggy Guggenheim Art Addict,SD,"$481,040",2015
7961,Flamenco,NYer,"$480,941",1997
7962,DOA: Dead or Alive,W/Dim.,"$480,813",2007
7963,Bully,Lions,"$480,811",2001
7964,Crossing the Bridge,BV,"$479,676",1992
7965,Just Another Girl on the IRT,Mira.,"$479,169",1993
7966,Nine Lives,Magn.,"$478,830",2005
7967,Queen to Play,Zeit.,"$478,710",2011
7968,Brotherly Love,Free,"$478,595",2015
7969,The Last September,Trim.,"$478,053",2000
7970,Casa de Los Babys,IFC,"$478,031",2003
7971,The Baader Meinhof Complex,Vita.,"$476,270",2009
7972,Bhoothnath,Eros,"$476,032",2008
7973,Drona,Eros,"$475,104",2008
7974,Plunkett and Macleane,USA,"$474,900",1999
7975,Detective Chinatown (Tang ren jie tan an),CL,"$474,252",2016
7976,Party Girl,First,"$472,370",1995
7977,Artie Lange's Beer League,Echo,"$472,185",2006
7978,The Flat,IFC,"$471,842",2012
7979,Pearl Jam Twenty,Abr.,"$471,334",2011
7980,The Affair of the Necklace,WB,"$471,210",2001
7981,About Elly,CGld,"$470,760",2015
7982,JCVD,PArch,"$470,691",2008
7983,Kelly,Par.,"$469,777",1981
7984,A Midwinter's Tale,SPC,"$469,571",1996
7985,"Maybe, Maybe Not",OrionC,"$468,930",1996
7986,Steamboy,Triu,"$468,867",2005
7987,Joe Gould's Secret,USA,"$468,684",2000
7988,Submarine,Wein.,"$467,602",2011
7989,The Housekeeper,Palm,"$467,288",2003
7990,Tully,SmlP,"$466,664",2002
7991,La Ligne brisee,All.,"$466,309",2008
7992,Last Days in Vietnam,AEF,"$466,114",2014
7993,Blue Car,Mira.,"$465,310",2003
7994,Venus Beauty Institute,Lot47,"$465,080",2000
7995,Church Ball,Hale,"$464,991",2006
7996,Colonel Chabert,Oct.,"$464,284",1994
7997,The Last Shot,BV,"$464,275",2004
7998,Slaves of New York,TriS,"$463,972",1989
7999,The Second Chance,Triu,"$463,542",2006
8000,Thank You (2011),UTV,"$463,540",2011
8001,Last Days,PicH,"$463,080",2005
8002,Romeo & Juliet: Sealed with a Kiss,Indic.,"$463,002",2006
8003,Let's Get Married,CL,"$462,918",2015
8004,The Flight of the Red Balloon,IFC,"$461,674",2008
8005,Outfoxed: Rupert Murdoch's War on Journalism,Libre,"$461,572",2004
8006,Foolproof,Ode.,"$460,978",2003
8007,Rififi,UMPO,"$460,226",1956^
8008,Detective Dee and the Mystery of the Phantom Flame,IM,"$459,836",2011
8009,The House on Carroll Street,Orion,"$459,824",1988
8010,The Last Supper,Sony,"$459,749",1996
8011,The Stone Angel,Viv.,"$459,166",2008
8012,Brooklyn Rules,CityL,"$458,232",2007
8013,New World (2013),WGUSA,"$457,806",2013
8014,Tashan,Yash,"$457,380",2008
8015,McBain,SGE,"$456,127",1991
8016,Crossing Over,Wein.,"$455,654",2009
8017,Rain,IDP,"$455,164",2002
8018,The Legend of Suriyothai,SPC,"$454,736",2003
8019,Circumstance,RAtt.,"$454,121",2011
8020,The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,FRun,"$453,650",2010
8021,Lucky,Eros,"$453,507",2005
8022,The Extra Man,Magn.,"$453,377",2010
8023,Day Watch,FoxS,"$450,897",2007
8024,Full Moon in Blue Water,TWE,"$450,726",1988
8025,Bombay Velvet,FIP,"$450,692",2015
8026,Brother,SPC,"$450,594",2001
8027,Danzon,SPC,"$450,501",1992
8028,Bitter Sugar,First,"$450,060",1996
8029,The Damned United,SPC,"$449,865",2009
8030,"The Wonderful, Horrible Life of Leni Riefenstahl",Kino,"$449,707",1994
8031,Attack on Titan: Part 1,FUN,"$449,523",2015
8032,Lockdown,Inn.,"$449,482",2003
8033,The Third Man (2015 re-release),Rialto,"$449,191",2015
8034,Time Out,Think,"$448,542",2002
8035,Bachelorette,RTWC,"$447,954",2012
8036,Felix and Meira,Osci.,"$447,353",2015
8037,The Triumph of Love,ParC,"$447,267",2002
8038,Callas Forever,Reg.,"$446,955",2004
8039,Wristcutters: A Love Story,ADF,"$446,165",2007
8040,I Am Trying to Break Your Heart,Cow.,"$445,522",2002
8041,The Heart of the Game,Mira.,"$445,374",2006
8042,The Way Home,ParC,"$445,367",2002
8043,Fast Charlie... the Moonbeam Rider,Uni.,"$444,334",1979
8044,In Secret,RAtt.,"$444,179",2014
8045,Upstream Color,erbp,"$444,098",2013
8046,Idiocracy,Fox,"$444,093",2006
8047,The Rainbow,Vest,"$444,055",1989
8048,The Hammer,ICir,"$443,591",2008
8049,Merci Pour le Chocolat,Emp.,"$443,238",2002
8050,Nadja,Oct.,"$443,169",1995
8051,Gypsy Caravan,Shad.,"$442,936",2007
8052,The Beautiful Country,SPC,"$442,813",2005
8053,Especially on Sunday,Mira.,"$442,676",1993
8054,"'Night, Mother",Uni.,"$441,863",1986
8055,The Town Is Quiet,NYer,"$441,664",2001
8056,Morons from Outer Space,Uni.,"$441,137",1985
8057,Don't Come Knocking,SPC,"$440,793",2006
8058,The Circle,Wins.,"$440,554",2001
8059,No One Killed Jessica,UTV,"$440,525",2011
8060,Sketches of Frank Gehry,SPC,"$439,309",2006
8061,Mishima: A Life in Four Chapters,WB,"$437,547",1985
8062,Savage Grace,IFC,"$435,746",2008
8063,Head-On (Gegen die Wand),Strand,"$435,395",2005
8064,Vision,Zeit.,"$435,274",2010
8065,Ferrari Ki Sawaari,Eros,"$434,107",2012
8066,Rosenwald,CIE,"$433,924",2015
8067,I Want Your Money,Free,"$433,588",2010
8068,When Do We Eat?,Think,"$431,513",2006
8069,But Always (Yi Sheng Yi Shi),CL,"$430,760",2014
8070,Just the Ticket,MGM,"$430,404",1999
8071,Saint Laurent,SPC,"$429,477",2015
8072,Track 29,Isld,"$429,028",1988
8073,Body Snatchers,WB,"$428,868",1994
8074,Beijing Love Story,CL,"$428,318",2014
8075,Break Ke Baad,Relbig.,"$427,628",2010
8076,Cold in July,IFC,"$427,418",2014
8077,If You Are the One 2 (Fei Cheng Wu Rao II),CL,"$426,894",2010
8078,The Hard Word,Lions,"$426,880",2003
8079,The Singing Revolution,Abr.,"$426,855",2007
8080,The Limits of Control,Focus,"$426,688",2009
8081,Josh,Eros,"$426,318",2000
8082,Listen to Me Marlon,SHO,"$425,831",2015
8083,Conversations with God,IDP,"$425,045",2006
8084,Earth (1999),Zeit.,"$424,798",1999
8085,Drowning by Numbers,Mira.,"$424,773",1991
8086,Primer,Think,"$424,760",2004
8087,8 1/2 Women,Lions,"$424,123",2000
8088,Sound City,Vari.,"$422,853",2013
8089,Tiger Warsaw,Sony,"$422,667",1988
8090,Storyville,Fox,"$422,503",1992
8091,She's Beautiful When She's Angry,ICir,"$421,573",2014
8092,Porn Star: The Legend of Ron Jeremy,Mael.,"$421,516",2001
8093,Broken Wings,SPC,"$421,454",2004
8094,The Last Days,Oct.,"$421,432",1999
8095,Divine Intervention (2003),Avat.,"$421,343",2003
8096,Lymelife,Scre.,"$421,307",2009
8097,The Good Father,Skou,"$421,201",1987
8098,Baise-Moi,Wins.,"$420,224",2000
8099,Killing Zoe,Oct.,"$418,961",1994
8100,El Crimen Perfecto,Vita.,"$418,843",2005
8101,True Colors,Par.,"$418,807",1991
8102,The OH in Ohio,Cyan,"$418,689",2006
8103,The Eel,NYer,"$418,480",1998
8104,The German Doctor,Gold.,"$418,392",2014
8105,Aloha Summer,Spec.,"$418,379",1988
8106,Seraphim Falls,IDP,"$418,296",2007
8107,The Witness (Wo shi zheng ren),CL,"$418,063",2015
8108,How to Get Ahead in Advertising,WB,"$418,053",1989
8109,"My Son, the Fanatic",Mira.,"$417,683",1999
8110,In the Realms of the Unreal,Wells,"$417,120",2004
8111,Interview,SPC,"$416,951",2007
8112,The Believer,IDP,"$416,925",2002
8113,The Eighth Day,Gram.,"$416,401",1997
8114,Desert Bloom,Col.,"$416,393",1986
8115,The Pirates,WGUSA,"$415,775",2014
8116,A Hijacking,Magn.,"$414,437",2013
8117,CQ,MGM,"$414,358",2002
8118,Wonderland (2000),USA,"$414,254",2000
8119,Grand Masti,Eros,"$413,903",2013
8120,3 Ninjas Knuckle Up,Sony,"$413,479",1995
8121,1998 Bugs Bunny Film Festival,WB,"$413,076",1998
8122,Godzilla (Original Japanese Version),Rialto,"$412,520",2004
8123,Seeking Justice,Anch.,"$411,746",2012
8124,Tuvalu,Indic.,"$411,678",2001
8125,Project Nim,RAtt.,"$411,184",2011
8126,Spun,NM,"$411,119",2003
8127,Number One with a Bullet,Can.,"$410,952",1987
8128,Phata Poster Nikla Hero,Eros,"$410,526",2013
8129,Unbranded,Grav.,"$410,185",2015
8130,Hawayein,Meg.,"$409,978",2003
8131,A Girl Cut in Two,IFC,"$409,658",2008
8132,Mobsters and Mormons,Hale,"$409,604",2005
8133,Badlapur,Eros,"$409,166",2015
8134,Jude,Gram.,"$409,144",1996
8135,I'm Still Here,Magn.,"$408,983",2010
8136,Triumph of the Spirit,Triu,"$408,839",1989
8137,The Promotion,TRR,"$408,709",2008
