ranking,name,producer,revenue,year
239,Wild Hogs,BV,"$168,273,550",2007
240,Three Men and a Baby,BV,"$167,780,960",1987
241,Gone Girl,Fox,"$167,767,189",2014
242,Casino Royale,Sony,"$167,445,960",2006
243,Meet the Parents,Uni.,"$166,244,045",2000
244,Fifty Shades of Grey,Uni.,"$166,167,230",2015
245,2012,Sony,"$166,112,167",2009
246,Robin Hood: Prince of Thieves,WB,"$165,493,908",1991
247,Kung Fu Panda 2,P/DW,"$165,249,063",2011
248,Hannibal,MGM,"$165,092,268",2001
249,Catch Me If You Can,DW,"$164,615,351",2002
250,The Proposal,BV,"$163,958,031",2009
251,The Pursuit of Happyness,Sony,"$163,566,459",2006
252,Big Daddy,Sony,"$163,479,795",1999
253,Clash of the Titans (2010),WB,"$163,214,888",2010
254,The SpongeBob Movie: Sponge Out of Water,Par.,"$162,994,032",2015
255,Batman Returns,WB,"$162,831,698",1992
256,Django Unchained,Wein.,"$162,805,434",2012
257,A Bug's Life,BV,"$162,798,565",1998
258,Grown Ups,Sony,"$162,001,186",2010
259,The Waterboy,BV,"$161,491,646",1998
260,Ice Age: Continental Drift,Fox,"$161,321,843",2012
261,Straight Outta Compton,Uni.,"$161,197,785",2015
262,Die Another Day,MGM,"$160,942,139",2002
263,Shark Tale,DW,"$160,861,908",2004
264,The Heat,Fox,"$159,582,188",2013
265,The Sound of Music,Fox,"$158,671,368",1965
266,The Firm,Par.,"$158,348,367",1993
267,The Longest Yard,Par.,"$158,119,460",2005
268,X-Men,Fox,"$157,299,717",2000
269,Scary Movie,Mira.,"$157,019,771",2000
270,Fatal Attraction,Par.,"$156,645,693",1987
271,Who Framed Roger Rabbit,BV,"$156,452,370",1988
272,The Sting,Uni.,"$156,000,000",1973
273,What Lies Beneath,DW,"$155,464,351",2000
274,The Mummy,Uni.,"$155,385,488",1999
275,Snow White and the Huntsman,Uni.,"$155,332,381",2012
276,San Andreas,WB,"$155,190,832",2015
277,Fast and Furious,Uni.,"$155,064,265",2009
278,Over the Hedge,P/DW,"$155,019,340",2006
279,Fantastic Four (2005),Fox,"$154,696,080",2005
280,Dr. Seuss' Horton Hears a Who!,Fox,"$154,529,439",2008
281,Jerry Maguire,Sony,"$153,952,592",1996
282,Beverly Hills Cop II,Par.,"$153,665,036",1987
283,Mad Max: Fury Road,WB,"$153,636,354",2015
284,Scooby-Doo,WB,"$153,294,164",2002
285,Gremlins,WB,"$153,083,102",1984^
286,Sex and the City,WB (NL),"$152,647,258",2008
287,Runaway Bride,Par.,"$152,257,509",1999
288,Divergent,LG/S,"$150,947,895",2014
